step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
9,PAYMENT,9163.72,C1381386216,0.0,0.0,M424266282,0.0,0.0,0.0
9,PAYMENT,13463.24,C1094768102,21049.0,7585.76,M626052040,0.0,0.0,0.0
11,CASH_OUT,518277.33,C1909799564,65981.23,0.0,C649265468,2219759.13,2738036.46,0.0
15,CASH_IN,231888.46,C920846910,37969.0,269857.46,C870064925,540623.87,385612.59,0.0
15,CASH_OUT,1245.71,C161929377,0.0,0.0,C163393228,210121.29,324626.95,0.0
13,CASH_IN,57614.44,C736026951,6550113.91,6607728.34,C1088997819,1063214.74,1005600.31,0.0
10,PAYMENT,10131.87,C656182230,92660.52,82528.65,M611256437,0.0,0.0,0.0
11,CASH_IN,117835.91,C1716603894,2978319.41,3096155.33,C1293789504,0.0,0.0,0.0
8,PAYMENT,2690.74,C873881911,0.0,0.0,M1994767823,0.0,0.0,0.0
14,PAYMENT,6373.27,C888671296,32009.0,25635.73,M34687159,0.0,0.0,0.0
9,CASH_IN,101719.1,C748742106,20388.0,122107.1,C434591998,25483.0,0.0,0.0
9,CASH_OUT,443471.23,C82894458,570.0,0.0,C616998001,0.0,694366.5,0.0
14,CASH_OUT,183424.44,C827385208,0.0,0.0,C2018136062,192445.39,417101.85,0.0
8,TRANSFER,1389093.56,C1901673755,113505.65,0.0,C1401316767,43707.86,2085232.92,0.0
12,PAYMENT,8074.15,C1292504074,40094.0,32019.85,M2046004859,0.0,0.0,0.0
12,CASH_IN,284524.37,C548114200,2066511.1,2351035.47,C1411134174,1774345.3,2983556.48,0.0
8,CASH_IN,199413.15,C739785512,72.0,199485.15,C337822079,102035.0,0.0,0.0
15,CASH_OUT,62068.48,C1346834901,0.0,0.0,C2034025029,417205.13,696451.99,0.0
10,CASH_IN,184067.17,C1838956115,66319.36,250386.53,C1624533975,1565781.26,678561.47,0.0
12,CASH_IN,417259.94,C1141306575,22.0,417281.94,C1095234183,51461.0,355147.94,0.0
13,CASH_OUT,132347.69,C104657545,445.0,0.0,C1937294500,2424902.74,3505835.21,0.0
11,CASH_OUT,184248.83,C871193569,0.0,0.0,C229556811,260357.38,547919.01,0.0
11,PAYMENT,1061.91,C1603738412,134901.0,133839.09,M497785323,0.0,0.0,0.0
7,PAYMENT,1701.79,C181081805,415068.0,413366.21,M851703827,0.0,0.0,0.0
14,CASH_IN,206880.79,C253913890,972927.82,1179808.61,C1377179857,317210.24,110329.45,0.0
8,PAYMENT,1219.44,C19072716,30946.0,29726.56,M2133823778,0.0,0.0,0.0
8,PAYMENT,7260.28,C1621988614,0.0,0.0,M1092759615,0.0,0.0,0.0
9,CASH_IN,44055.27,C856796646,107907.0,151962.27,C831467165,9420030.97,10564985.47,0.0
15,TRANSFER,204649.86,C1628449587,543.0,0.0,C1795642754,567763.98,969137.78,0.0
13,CASH_OUT,366866.25,C870723095,0.0,0.0,C924190505,1379677.73,1746543.98,0.0
9,PAYMENT,11486.36,C446276779,0.0,0.0,M1709504837,0.0,0.0,0.0
9,PAYMENT,6253.33,C28832079,42538.0,36284.67,M695914762,0.0,0.0,0.0
15,CASH_OUT,342591.57,C1205733052,75555.88,0.0,C1667248082,3349297.79,4868584.22,0.0
15,CASH_OUT,124938.61,C1917010180,0.0,0.0,C2014622019,773173.53,1100367.3,0.0
12,CASH_IN,245057.81,C1629808416,860503.51,1105561.32,C846047877,30900.0,632137.31,0.0
11,PAYMENT,19336.0,C2068395371,0.0,0.0,M355578001,0.0,0.0,0.0
9,CASH_IN,113734.88,C1745272068,1801890.74,1915625.62,C915876440,160691.0,0.0,0.0
15,PAYMENT,13341.58,C1347580204,726177.52,712835.94,M1313817297,0.0,0.0,0.0
8,PAYMENT,4093.3,C1864353724,298046.0,293952.7,M1196449454,0.0,0.0,0.0
12,CASH_IN,11993.56,C1822499841,1115175.24,1127168.8,C608090325,175180.25,44972.31,0.0
14,TRANSFER,1286104.41,C1520142222,7009.0,0.0,C1332429382,48856.86,1334961.27,0.0
9,CASH_IN,73283.56,C1327881757,2620989.38,2694272.95,C2085581342,204188.81,130905.25,0.0
13,CASH_IN,62395.9,C1963470017,2828031.12,2890427.02,C854056805,979567.13,1504477.71,0.0
14,CASH_IN,391369.88,C1848320532,672912.51,1064282.39,C1814156032,862503.71,471133.83,0.0
12,CASH_OUT,205297.79,C926394380,0.0,0.0,C1302803707,5187049.94,5805856.4,0.0
14,CASH_OUT,281943.34,C1556503457,362119.0,80175.66,C1290588647,0.0,281943.34,0.0
14,TRANSFER,687051.55,C324840779,3098.0,0.0,C1974514785,0.0,687051.55,0.0
11,CASH_OUT,95824.05,C1999604541,40571.0,0.0,C1022455073,50798.0,373824.59,0.0
10,CASH_IN,269904.51,C1521631408,27077.0,296981.51,C1367538162,0.0,0.0,0.0
10,CASH_IN,55227.35,C621993831,0.0,55227.35,C1671752615,1627137.34,2527956.58,0.0
15,PAYMENT,10130.72,C1157077116,271633.61,261502.89,M261747435,0.0,0.0,0.0
11,PAYMENT,35024.33,C1693743569,438492.83,403468.5,M795977257,0.0,0.0,0.0
12,CASH_OUT,340664.13,C1468413545,22237.0,0.0,C1671752615,2964990.75,3305654.88,0.0
12,CASH_OUT,4833.76,C2006941055,0.0,0.0,C469823999,6008.0,0.0,0.0
11,PAYMENT,676.81,C1481895002,0.0,0.0,M261809822,0.0,0.0,0.0
12,TRANSFER,867681.14,C1409391182,0.0,0.0,C365897166,1443598.06,2891318.68,0.0
1,CASH_OUT,107421.26,C795594631,7239.33,0.0,C1983747920,226328.33,95508.95,0.0
9,CASH_OUT,464324.93,C1051265047,37033.0,0.0,C1292966728,41254.0,631247.51,0.0
13,PAYMENT,24552.91,C1920731494,1289.0,0.0,M33809790,0.0,0.0,0.0
12,CASH_OUT,272430.95,C3317626,14535.0,0.0,C1418486629,0.0,463829.15,0.0
15,CASH_IN,357485.52,C125767388,1595233.0,1952718.52,C1969699160,588050.92,230565.4,0.0
14,CASH_IN,21711.68,C860165141,8821.0,30532.68,C790722099,463662.34,295761.68,0.0
14,CASH_OUT,55375.08,C1020496811,25669.0,0.0,C943491276,1482875.23,1500793.63,0.0
6,PAYMENT,22968.75,C1823047135,383.0,0.0,M1292956034,0.0,0.0,0.0
13,CASH_IN,216163.74,C282735579,33113.0,249276.74,C2019447632,4336965.47,4038747.73,0.0
13,PAYMENT,21160.19,C1278736086,0.0,0.0,M1930571216,0.0,0.0,0.0
11,CASH_IN,126996.22,C487976918,10563.0,137559.22,C955610633,5948581.54,6346979.67,0.0
10,DEBIT,4257.89,C1023296800,106337.0,102079.11,C111747605,23649.0,12410.3,0.0
9,CASH_IN,267962.31,C100600294,21263.0,289225.31,C940159462,279611.64,17856.58,0.0
10,TRANSFER,60693.63,C469023276,0.0,0.0,C1807896178,622997.26,1073141.98,0.0
15,PAYMENT,727.07,C256225927,0.0,0.0,M1336905070,0.0,0.0,0.0
10,CASH_OUT,119196.19,C1681283535,0.0,0.0,C1565520208,1280415.96,1235205.77,0.0
14,PAYMENT,2243.31,C1320686968,115022.0,112778.69,M763472615,0.0,0.0,0.0
10,CASH_OUT,39481.15,C1987366958,1541196.87,1501715.72,C1157464567,860780.66,905882.24,0.0
12,TRANSFER,483986.04,C19787815,0.0,0.0,C1858098329,1533129.5,2548417.18,0.0
12,PAYMENT,7739.69,C809470780,0.0,0.0,M1393573211,0.0,0.0,0.0
13,CASH_OUT,223255.99,C1328919029,666.0,0.0,C276896009,423720.67,646976.66,0.0
10,PAYMENT,18650.61,C1137498132,0.0,0.0,M1371420477,0.0,0.0,0.0
8,CASH_OUT,357557.07,C2036233168,163316.0,0.0,C1503386238,0.0,517509.91,0.0
12,PAYMENT,222.74,C1867837651,51710.0,51487.26,M532138743,0.0,0.0,0.0
12,PAYMENT,1845.08,C1114710593,346195.46,344350.38,M1576104958,0.0,0.0,0.0
13,CASH_IN,128550.22,C1890912823,950760.21,1079310.43,C1381846905,2470573.29,2342023.07,0.0
9,CASH_OUT,28357.25,C668566802,7464.0,0.0,C599350419,50234.0,0.0,0.0
8,PAYMENT,9468.78,C527000483,10448.0,979.22,M1662164405,0.0,0.0,0.0
11,PAYMENT,19794.62,C851373038,6787.96,0.0,M486658568,0.0,0.0,0.0
10,DEBIT,4325.92,C1994066139,51138.0,46812.08,C254123095,564978.96,643151.0,0.0
9,TRANSFER,808887.11,C250134008,22363.0,0.0,C2108103747,0.0,808887.11,0.0
12,CASH_IN,444964.95,C503771812,14741404.99,15186369.94,C642500410,2421100.38,1554701.83,0.0
9,CASH_IN,50495.6,C2118097897,1041986.23,1092481.83,C1801307997,271708.13,279702.81,0.0
8,PAYMENT,1237.01,C2030710312,79369.0,78131.99,M1644812429,0.0,0.0,0.0
8,CASH_OUT,56580.04,C1704302891,0.0,0.0,C656400047,88500.14,1597668.67,0.0
14,CASH_OUT,98123.22,C1633117965,0.0,0.0,C1968340619,361993.14,460116.36,0.0
12,CASH_OUT,9991.0,C1932151954,8539.0,0.0,C114159191,102725.83,112716.83,0.0
14,CASH_OUT,217518.78,C198823671,66760.39,0.0,C538085844,281779.94,24303.5,0.0
10,PAYMENT,144.21,C766275482,331915.61,331771.4,M1380389193,0.0,0.0,0.0
8,PAYMENT,11858.21,C10911302,9517.28,0.0,M110562008,0.0,0.0,0.0
14,CASH_OUT,289551.19,C2048265567,10127.0,0.0,C460735540,193838.76,483389.96,0.0
10,PAYMENT,8043.56,C780356575,14727.0,6683.44,M1168901850,0.0,0.0,0.0
14,CASH_OUT,144002.87,C1198699918,0.0,0.0,C643107425,691636.12,574370.29,0.0
14,CASH_OUT,447781.12,C657876492,130806.0,0.0,C772055450,0.0,447781.12,0.0
7,PAYMENT,5662.97,C1242945013,475.0,0.0,M1394208704,0.0,0.0,0.0
8,CASH_OUT,65511.36,C1899573947,0.0,0.0,C801412408,259463.31,67124.59,0.0
10,PAYMENT,2871.76,C680963529,0.0,0.0,M722896392,0.0,0.0,0.0
11,CASH_IN,100779.51,C1054990211,3802646.75,3903426.26,C2033982343,1416505.74,1315726.23,0.0
9,CASH_IN,52129.87,C1895968318,10020919.23,10073049.1,C1828290290,792842.46,0.0,0.0
11,PAYMENT,5585.38,C1709266215,358575.57,352990.18,M2135943406,0.0,0.0,0.0
15,PAYMENT,13965.36,C2142102209,951524.01,937558.65,M719488081,0.0,0.0,0.0
10,CASH_OUT,171973.99,C1871703069,39906.0,0.0,C919488700,1818001.84,1989975.82,0.0
13,PAYMENT,33479.88,C274407020,51382.0,17902.12,M103269644,0.0,0.0,0.0
10,PAYMENT,24572.44,C1314730413,286.0,0.0,M392730255,0.0,0.0,0.0
15,CASH_OUT,180365.17,C1207584299,700538.0,520172.83,C1931532337,548164.45,1017488.76,0.0
9,CASH_OUT,232204.15,C756963271,593.0,0.0,C512212112,10398.0,0.0,0.0
10,CASH_OUT,553522.6,C1193031624,95229.0,0.0,C1834186423,32244.07,585766.68,0.0
14,CASH_IN,348044.04,C1181538147,7277311.89,7625355.93,C2119233209,5324391.45,4363336.74,0.0
11,PAYMENT,18426.55,C417816773,33598.0,15171.45,M2074443989,0.0,0.0,0.0
11,CASH_OUT,397250.86,C945675650,30844.0,0.0,C244410586,0.0,397250.86,0.0
2,PAYMENT,5769.55,C548093498,60891.0,55121.45,M1823438851,0.0,0.0,0.0
11,PAYMENT,14940.01,C1915721933,145209.0,130268.99,M2042732227,0.0,0.0,0.0
11,PAYMENT,4221.49,C1319433481,741807.29,737585.81,M444989065,0.0,0.0,0.0
8,CASH_OUT,274737.06,C1439986335,0.0,0.0,C1295301356,9462707.82,10308723.52,0.0
11,PAYMENT,7252.25,C333132428,5084.0,0.0,M1878235717,0.0,0.0,0.0
9,CASH_IN,200473.97,C1491738793,14127053.58,14327527.55,C1951367872,1389184.79,1112868.52,0.0
12,CASH_IN,12391.62,C2050540434,5751883.63,5764275.24,C1917747929,1326847.05,2285396.68,0.0
12,CASH_OUT,259533.4,C106307666,0.0,0.0,C442062693,324028.64,625645.86,0.0
9,CASH_IN,132011.06,C1572122631,7048624.54,7180635.59,C2096306817,203882.0,51783.43,0.0
12,TRANSFER,1032535.85,C16309747,0.0,0.0,C100836936,2222516.26,3312303.42,0.0
11,TRANSFER,1266364.94,C2051412011,0.0,0.0,C1340123681,2726373.18,5607213.97,0.0
11,PAYMENT,13498.1,C1021455585,0.0,0.0,M1750299802,0.0,0.0,0.0
9,CASH_IN,12439.1,C1274376998,20702.0,33141.1,C1648982338,29749.0,0.0,0.0
9,PAYMENT,21954.14,C584392108,18066.76,0.0,M2120907829,0.0,0.0,0.0
8,PAYMENT,9619.68,C743743257,38589.0,28969.32,M1583495635,0.0,0.0,0.0
10,CASH_IN,167109.35,C869566145,19902.0,187011.35,C593849790,0.0,0.0,0.0
9,CASH_OUT,155459.1,C996582528,99685.0,0.0,C940574103,19793.0,175252.1,0.0
9,PAYMENT,8383.6,C1577816910,0.0,0.0,M636132549,0.0,0.0,0.0
14,CASH_OUT,218851.47,C1113342095,2672.0,0.0,C1298691062,3538.0,366136.36,0.0
15,CASH_IN,218335.53,C37102867,78714.0,297049.53,C2091248200,1040424.99,822089.46,0.0
12,CASH_OUT,328085.67,C2059268738,89680.0,0.0,C1286151566,470920.67,1007662.97,0.0
14,CASH_OUT,89332.96,C2024315206,32327.0,0.0,C248576137,1949008.46,2414648.1,0.0
15,CASH_IN,86103.85,C306488250,99125.0,185228.85,C1415511298,132186.29,46082.44,0.0
10,PAYMENT,50545.73,C599165549,0.0,0.0,M2032228482,0.0,0.0,0.0
7,PAYMENT,4641.99,C1091345581,35950.0,31308.01,M432186299,0.0,0.0,0.0
9,CASH_IN,140852.06,C1373361341,126572.0,267424.06,C1799587714,121812.07,0.0,0.0
10,CASH_OUT,115459.84,C1893476907,0.0,0.0,C312362475,654440.66,769900.49,0.0
14,TRANSFER,783612.47,C1551538881,0.0,0.0,C1379935176,2615396.65,3870907.66,0.0
9,CASH_OUT,55607.17,C529400759,26375.0,0.0,C836673222,17430.72,1258018.45,0.0
14,CASH_OUT,388063.89,C1915125126,54916.0,0.0,C871498649,145317.28,895227.92,0.0
13,CASH_OUT,134230.84,C1944337136,745119.0,610888.16,C1401721023,10098028.1,10232258.94,0.0
12,CASH_OUT,86550.6,C368523061,0.0,0.0,C1673688244,3426464.19,4804534.96,0.0
12,TRANSFER,675426.2,C1253780289,0.0,0.0,C830904200,1253304.86,2723478.1,0.0
13,TRANSFER,808325.64,C393936717,0.0,0.0,C684611914,983170.43,1791496.07,0.0
11,CASH_IN,43984.56,C1154917083,9343651.76,9387636.32,C562792191,792025.78,0.0,0.0
11,PAYMENT,13829.99,C258030873,21159.0,7329.01,M1164501260,0.0,0.0,0.0
13,CASH_OUT,102671.31,C209993382,20920.0,0.0,C446307903,944168.56,1046839.87,0.0
12,PAYMENT,25488.53,C1992847948,11470.0,0.0,M623902374,0.0,0.0,0.0
9,TRANSFER,2420920.87,C1497082681,381254.58,0.0,C1743996658,4357050.12,6652421.6,0.0
11,DEBIT,4600.58,C249343721,0.0,0.0,C66315714,239881.55,244482.13,0.0
13,PAYMENT,574.5,C1333568320,0.0,0.0,M1510263102,0.0,0.0,0.0
12,PAYMENT,9078.97,C1034933636,0.0,0.0,M1613694084,0.0,0.0,0.0
9,CASH_OUT,316304.41,C374876521,11254.0,0.0,C1915624447,1354920.46,2811957.92,0.0
15,CASH_IN,27770.85,C1054851391,6549886.68,6577657.53,C1411830789,1433155.41,1405384.56,0.0
14,CASH_OUT,72452.61,C1219710868,0.0,0.0,C1465478513,1734469.92,1777347.58,0.0
14,CASH_IN,119394.78,C1777818960,0.0,119394.78,C201474654,12035509.62,11546787.14,0.0
8,PAYMENT,277.34,C2059456904,70331.0,70053.66,M446966876,0.0,0.0,0.0
9,CASH_IN,170783.23,C1067724767,2364407.21,2535190.44,C572925271,352279.99,273686.32,0.0
11,CASH_IN,130184.88,C1283774523,1087598.4,1217783.28,C678298772,984109.17,616496.66,0.0
10,PAYMENT,28475.62,C120767838,0.0,0.0,M2031773376,0.0,0.0,0.0
11,CASH_OUT,207098.73,C1117507538,30946.0,0.0,C1316927638,91342.0,298440.73,0.0
9,CASH_IN,18575.01,C301696444,1522676.78,1541251.79,C1950689533,428694.33,410119.32,0.0
10,TRANSFER,965666.01,C586413612,1254.0,0.0,C818838019,116379.0,1360433.41,0.0
11,CASH_IN,215754.6,C221429581,10473.0,226227.6,C266912553,6030183.47,5814428.87,0.0
13,PAYMENT,991.98,C183726154,0.0,0.0,M2129457800,0.0,0.0,0.0
14,CASH_IN,554205.57,C640016645,20032.0,574237.57,C1557391042,0.0,0.0,0.0
10,CASH_OUT,159580.34,C209372316,0.0,0.0,C606815938,2505379.25,2629130.54,0.0
13,PAYMENT,11216.06,C1605741140,0.0,0.0,M1064839709,0.0,0.0,0.0
13,PAYMENT,4168.48,C1007671949,0.0,0.0,M1498936864,0.0,0.0,0.0
15,CASH_IN,75283.84,C529608427,692012.57,767296.41,C1360092022,417583.45,494061.34,0.0
13,CASH_IN,73973.34,C2072098568,1839862.78,1913836.13,C1820528317,336971.38,668079.52,0.0
13,CASH_IN,467895.9,C671134500,1864469.77,2332365.68,C1152194738,12511434.84,11956439.67,0.0
14,CASH_IN,283575.62,C1628352892,298030.68,581606.3,C1689323704,447653.9,401238.88,0.0
11,CASH_IN,410494.76,C925707534,6096.0,416590.76,C1440325059,2547276.81,2136782.05,0.0
12,PAYMENT,725.68,C1831522353,581.0,0.0,M2006182850,0.0,0.0,0.0
15,CASH_IN,269461.85,C165627144,156321.16,425783.01,C1109421585,1851281.46,1581819.61,0.0
13,CASH_OUT,138152.99,C253539998,222760.94,84607.95,C1157859387,0.0,138152.99,0.0
10,CASH_OUT,637029.47,C549874595,1675.0,0.0,C1856036778,15949667.8,16502607.37,0.0
15,CASH_OUT,143154.41,C1343281630,8551.0,0.0,C376349797,735685.08,878839.48,0.0
13,CASH_OUT,122299.04,C44054859,32385.0,0.0,C1219963985,2240418.61,2362717.65,0.0
13,CASH_IN,178333.85,C93626094,1617005.09,1795338.94,C1791483178,622006.02,443672.17,0.0
8,PAYMENT,17857.49,C1407548654,19852.0,1994.51,M937458543,0.0,0.0,0.0
12,PAYMENT,4371.96,C1036854746,118037.0,113665.04,M1530530248,0.0,0.0,0.0
9,CASH_OUT,243544.41,C1652175545,0.0,0.0,C1768194414,511804.0,1265049.25,0.0
11,PAYMENT,7307.33,C478430448,0.0,0.0,M1866229235,0.0,0.0,0.0
8,TRANSFER,634743.95,C132921364,81415.93,0.0,C524804429,718668.73,1353412.68,0.0
13,PAYMENT,2984.8,C563377425,353707.05,350722.25,M763769304,0.0,0.0,0.0
13,CASH_OUT,121623.51,C213684090,0.0,0.0,C82301410,0.0,121623.51,0.0
9,PAYMENT,27545.2,C1056608908,31191.0,3645.8,M536354488,0.0,0.0,0.0
12,TRANSFER,828936.64,C1889055392,57570.0,0.0,C1649787185,0.0,408770.23,0.0
13,CASH_OUT,117289.91,C1562771376,0.0,0.0,C1191785030,0.0,117289.91,0.0
11,TRANSFER,731045.02,C1838781284,751691.89,20646.87,C1293398294,2906787.67,3637832.7,0.0
8,CASH_OUT,131340.79,C91848593,0.0,0.0,C194746285,1273148.59,1404489.37,0.0
9,CASH_OUT,275187.62,C1115530707,31017.0,0.0,C105198636,18229.9,293417.51,0.0
12,CASH_OUT,132805.46,C566513568,53356.34,0.0,C558123673,400366.85,533172.31,0.0
10,CASH_IN,69662.72,C1609478030,560800.0,630462.72,C912535903,358220.92,222156.84,0.0
13,PAYMENT,12413.91,C1374106227,0.0,0.0,M1527265917,0.0,0.0,0.0
13,TRANSFER,391924.06,C685777633,0.0,0.0,C912097190,886154.57,1278078.63,0.0
7,PAYMENT,3580.42,C1678289068,11058.0,7477.58,M795924364,0.0,0.0,0.0
12,TRANSFER,707316.37,C889227138,0.0,0.0,C1958036068,2612086.16,3319402.53,0.0
14,PAYMENT,9899.97,C1511527456,0.0,0.0,M552906523,0.0,0.0,0.0
13,PAYMENT,4586.1,C638212937,0.0,0.0,M2023361686,0.0,0.0,0.0
12,CASH_IN,208908.87,C1154570690,4302630.76,4511539.63,C497865374,365455.51,156546.64,0.0
12,PAYMENT,5363.43,C1059023137,0.0,0.0,M860013296,0.0,0.0,0.0
8,PAYMENT,3379.94,C1018562129,4113.0,733.06,M587743135,0.0,0.0,0.0
14,PAYMENT,93.63,C611011021,9152.46,9058.84,M1169285402,0.0,0.0,0.0
9,CASH_OUT,47044.77,C890441904,0.0,0.0,C317071334,439788.84,646656.95,0.0
14,TRANSFER,565945.2,C797039900,23040.0,0.0,C239786772,0.0,565945.2,0.0
11,PAYMENT,9620.17,C985102836,12187.0,2566.83,M654480171,0.0,0.0,0.0
15,CASH_IN,253103.26,C1360840195,6684933.27,6938036.53,C51304168,388791.77,135688.51,0.0
13,CASH_OUT,291662.37,C249374200,2363.94,0.0,C1266435158,1700861.87,3656569.84,0.0
10,CASH_OUT,114312.9,C752162706,25376.0,0.0,C1919173391,13649.0,840838.79,0.0
14,CASH_OUT,251650.14,C1672577194,376169.22,124519.08,C2135338560,0.0,251650.14,0.0
9,CASH_IN,45925.24,C1107273946,203962.0,249887.24,C469742396,49491.0,3565.76,0.0
9,PAYMENT,4346.51,C252233609,183366.31,179019.8,M1890261033,0.0,0.0,0.0
9,CASH_OUT,191297.55,C2090874799,0.0,0.0,C2119123648,766248.76,1043199.99,0.0
13,PAYMENT,10385.29,C1118240038,545232.96,534847.68,M3350827,0.0,0.0,0.0
14,PAYMENT,13255.13,C1361548211,0.0,0.0,M1228115003,0.0,0.0,0.0
13,CASH_OUT,126843.13,C1250100838,71934.61,0.0,C236356518,10202841.82,10329684.95,0.0
12,CASH_OUT,178662.35,C1900102156,128.0,0.0,C700743439,467762.07,723290.07,0.0
11,TRANSFER,691011.67,C1895604630,261099.0,0.0,C139021033,44354.25,793651.99,0.0
14,CASH_OUT,384524.69,C1562834367,0.0,0.0,C338391283,1415631.06,1800155.75,0.0
7,CASH_OUT,12837.77,C1388742949,29867.0,17029.23,C751413576,7063.0,19900.77,0.0
13,CASH_OUT,375390.45,C583386201,20844.0,0.0,C410414021,0.0,580759.29,0.0
10,PAYMENT,5530.5,C696587603,0.0,0.0,M1644679370,0.0,0.0,0.0
14,CASH_IN,125406.16,C760058682,11351598.46,11477004.62,C157213622,137107.83,0.0,0.0
9,CASH_OUT,57219.02,C1376696535,0.0,0.0,C1255024717,18746162.51,18803381.54,0.0
14,TRANSFER,469857.83,C256690389,73828.0,0.0,C486002943,0.0,1317247.42,0.0
11,PAYMENT,9520.49,C1728139627,156.0,0.0,M312767930,0.0,0.0,0.0
